key,y
0,4
1,20
2,22
3,16
4,16
5,1
6,22
7,22
8,15
9,0
10,7
11,3
12,6
13,9
14,6
15,7
16,11
17,17
18,21
19,5
20,14
21,16
22,17
23,13
24,10
25,0
26,10
27,12
28,18
29,1
30,20
31,4
32,2
33,10
34,0
35,6
36,2
37,11
38,20
39,14
40,13
41,2
42,3
43,22
44,13
45,20
46,4
47,4
48,15
49,6
50,5
51,15
52,8
53,21
54,4
55,17
56,8
57,19
58,1
59,12
60,2
61,10
62,19
63,4
64,12
65,8
66,7
67,18
68,12
69,15
70,1
71,1
72,4
73,6
74,14
75,20
76,13
77,1
78,10
79,8
80,13
81,19
82,5
83,7
84,5
85,14
86,16
87,5
88,6
89,5
90,6
91,13
92,17
93,16
94,6
95,11
96,3
97,21
98,17
99,19
100,5
101,14
102,12
103,19
104,10
105,5
106,3
107,1
108,11
109,1
110,9
111,2
112,16
113,16
114,14
115,10
116,3
117,9
118,17
119,13
120,1
121,8
122,14
123,6
124,22
125,17
126,22
127,20
128,17
129,10
130,20
131,21
132,21
133,0
134,4
135,10
136,9
137,8
138,18
139,3
140,2
141,7
142,13
143,18
144,0
145,12
146,12
147,0
148,12
149,11
150,6
151,7
152,11
153,10
154,13
155,1
156,13
157,3
158,11
159,11
160,11
161,15
162,18
163,9
164,2
165,8
166,11
167,19
168,20
169,3
170,16
171,6
172,3
173,22
174,14
175,21
176,13
177,8
178,20
179,13
180,9
181,1
182,10
183,1
184,20
185,20
186,20
187,5
188,5
189,6
190,1
191,4
192,22
193,15
194,19
195,6
196,15
197,15
198,12
199,16
200,2
201,16
202,6
203,14
204,20
205,2
206,10
207,7
208,15
209,21
210,21
211,15
212,12
213,6
214,18
215,7
216,10
217,8
218,6
219,0
220,13
221,9
222,2
223,21
224,18
225,19
226,15
227,22
228,6
229,18
230,8
231,4
232,16
233,15
234,8
235,14
236,3
237,15
238,19
239,10
240,6
241,3
242,12
243,0
244,22
245,15
246,5
247,14
248,10
249,15
250,11
251,19
252,2
253,13
254,18
255,4
256,5
257,16
258,8
259,16
260,20
261,12
262,6
263,15
264,10
265,7
266,3
267,7
268,0
269,5
270,16
271,15
272,20
273,12
274,3
275,16
276,16
277,18
278,4
279,5
